Category,Speaker,Location/Stop,Node/Quirk,Line Type,Text,Cost,Effect,Result/Response
Encounter,Long-Haul Mike,"Vantage, mile 137",,Choice,"""It's your lucky day. My pockets are blessed and I'm willing to pay.""",$100,70% +40mi fuel / 30% +15mi fuel,"He siphons you a fat share off his own tank — ""Company's problem now,"" he says, and you've got him to thank. (70%) / Half the diesel he swore he'd hand — that's trucker math, you understand. (30%)"
Encounter,Long-Haul Mike,"Vantage, mile 137",,Choice,"""Good luck with all that!""",,No effect,"""Yeah,"" he says, to the wind and no one — ""luck. That's the one thing out here they don't run."""
Encounter,Farm Worker,"Othello, mile 184",,Quote,"You can fill up at any fuel stop. But I've got a mix that makes your mileage pop.",,,
Encounter,Farm Worker,"Othello, mile 184",,Choice,"""I'll take you up on that rocket fuel.""",$50,80% +55mi fuel / 20% +25mi fuel & -3 HP,"Dang! The tank reads impossibly full — whatever that was, it's got some pull. (80%) / That was NOT just gas, it's plain — the engine coughs and bucks in pain. (20%)"
Encounter,Farm Worker,"Othello, mile 184",,Choice,"""Anything I should expect to see on the road ahead?""",,Reveals farm-equipment hazard,"Watch for tractors slow as tree pitch — they own the road, and every ditch."
Encounter,Farm Worker,"Othello, mile 184",,Choice,"""You're very generous, but you make me nervous.""",,No effect,"He caps the can and grins with half a tooth — ""Smart man. Most folks can't handle the truth."""
Encounter,Startup Founder,"Bellevue, mile 12.5",,Quote,"Our app dodges every speed trap in this state — the free tier is what the reviewers hate.",,,
Encounter,Startup Founder,"Bellevue, mile 12.5",,Choice,"""I'll support your vision. Sign me up for the annual subscription.""",$100,70% -1 wanted star & +90s / 30% fails,"It actually works — two traps glide by unseen; she's already pitching a Series B, it seems. (70%) / 'Servers are scaling!' she chirps — then the app falls flat; and so does your hundred, just like that. (30%)"
Encounter,Startup Founder,"Bellevue, mile 12.5",,Choice,"""It's not the cops I dread, but more of the weather. Do you know what lies ahead…""",,Reveals fog hazard,"The precip is mostly in the mountain heights, leaving Issaquah foggy AF. Might be worth upgrading to some fog lights."
Encounter,Startup Founder,"Bellevue, mile 12.5",,Choice,"""You won't fool me. I know you collect info and track my location.""",,No effect,"""We call it telemetry,"" she says, unbowed — ""and you agreed to it, out loud, in a crowd."""
Encounter,Hitchhiker,"Issaquah, mile 18",,Quote,"I need a pass-bound lift, that's true — cash up front, I won't even talk to you.",,,
Encounter,Hitchhiker,"Issaquah, mile 18",,Choice,"""Lucky for you, I need the cash and have room for one more ass.""",,60% +$80 / 40% +$20 & +1 wanted star,"She pays, reads the curves better than your GPS could, then's gone at the summit — a passenger good. (60%) / Turns out she's on some watch-list, it seems — now you're right beside it, in the cops' bad dreams. (40%)"
Encounter,Hitchhiker,"Issaquah, mile 18",,Choice,"""I don't really have the space. Do you know about the weather at the mountain's base?""",,Reveals rain hazard,"I heard it's dumping buckets of rain in North Bend. Hope your wipers are prepared for full send."
Encounter,Hitchhiker,"Issaquah, mile 18",,Choice,"""Mom said not to talk to strangers.""",,No effect,"""Your mom sounds smart,"" she says, thumb still out — ""shame she raised whatever this is about."""
Encounter,Park Ranger,"Cle Elum, mile 84",,Quote,"Elk cross at dusk and don't check their blind side — and neither, it seems, do you when you ride.",,,
Encounter,Park Ranger,"Cle Elum, mile 84",,Choice,"""Great advice. I'll keep my eyes out and my foot down.""",,"Elk-ready buff, reveals elk hazard","Slow at the tree lines, mind your speed — they're bigger than your car's whole creed."
Encounter,Park Ranger,"Cle Elum, mile 84",,Choice,"""I heard you're looking for a lost hiker. I saw them at Commonwealth up at the pass.""",,-1 wanted star,"She radios it in, thrown off the scent — your record breathes; the heat's misspent."
Encounter,Park Ranger,"Cle Elum, mile 84",,Choice,"""Those elk better watch out for me!""",,No effect,"She writes nothing down, which is somehow worse — ""Seven hundred pounds,"" she says. ""You first."""
Encounter,Diner Waitress,"Ellensburg, mile 109",greetFirst,Quote,"Rodeo's in town, so the crowds are thick. But tip me well and I'll serve you quick.",,,
Encounter,Diner Waitress,"Ellensburg, mile 109",greetFirst,Choice,"""Whatever's hot, and keep the coffee coming.""",$40,"+5 HP, +90s, fullness floor 60, alertness up","Best call you've made the whole trip long — low bar, sure, but it's not wrong."
Encounter,Diner Waitress,"Ellensburg, mile 109",greetFirst,Choice,"""What's ahead of me?""",,Goes to node: roadTalk,
Encounter,Diner Waitress,"Ellensburg, mile 109",greetFirst,Choice,"""This place smells like an ashtray. I'll get food on the road.""",,No effect; ends,"""Suit yourself, sugar,"" she says, unimpressed — ""the gas station sushi is what you like best."""
Encounter,Diner Waitress,"Ellensburg, mile 109",greetReturn,Quote,"Well, look who survived the road's mean tricks — same booth's free, and you're getting pie; don't fight it, that's the fix.",,,
Encounter,Diner Waitress,"Ellensburg, mile 109",greetReturn,Choice,"""I'll take the usual.""",$40,"+5 HP, +90s, fullness floor 60, alertness up","""The usual,"" she repeats. ""Who ARE you?"" — then the plate lands hot, like she always knew."
Encounter,Diner Waitress,"Ellensburg, mile 109",greetReturn,Choice,"""Any news up the road?""",,Goes to node: roadTalk,
Encounter,Diner Waitress,"Ellensburg, mile 109",greetReturn,Choice,"""Just passing through — take care!""",,No effect; ends,"""Take care yourself. And slower, if you're able — I'd hate to read your name across this table."""
Encounter,Diner Waitress,"Ellensburg, mile 109",roadTalk,Quote,"Have you been to Vantage before? That wind can blow with the best of whores.",,,
Encounter,Diner Waitress,"Ellensburg, mile 109",roadTalk,Choice,"""Then load me up first. I'm not fighting that hungry.""",$40,"Food buffs + reveals wind hazard","Smart — nobody fights the wind and wins when their stomach's thin."
Encounter,Diner Waitress,"Ellensburg, mile 109",roadTalk,Choice,"""Noted. Thanks for the warning.""",,Reveals wind hazard; ends,"All morning the truckers came in white and green. Two hands on that wheel, and mind what's unseen."
Encounter,Roadside Grandma,"Hatton, mile 205",greet,Quote,"Few stop in Hatton, dear, it's true — I keep gas for the ones who do, and cookies… but the gas is safer for you.",,,
Encounter,Roadside Grandma,"Hatton, mile 205",greet,Choice,"""I'll take the gas, ma'am. What's the damage?""",$35,+50mi fuel,"Drive safe, or don't, my dear — either way, the news'll reach my ear."
Encounter,Roadside Grandma,"Hatton, mile 205",greet,Choice,"""Safer? What exactly is in those cookies?""",,Goes to node: cookies,
Encounter,Roadside Grandma,"Hatton, mile 205",greet,Choice,"""Why Hatton? There's nothing out here but wheat.""",,Goes to node: whyHatton,
Encounter,Roadside Grandma,"Hatton, mile 205",greet,Choice,"""You're sweet, ma'am, but I've seen this movie.""",,No effect; ends,"""Everyone has, dear,"" she says, and waves — ""and yet the road out here is still full of graves."""
Encounter,Roadside Grandma,"Hatton, mile 205",cookies,Quote,"Butter and sugar and a recipe old — one the county begged me to leave untold; one won't hurt you… or so I'm told.",,,
Encounter,Roadside Grandma,"Hatton, mile 205",cookies,Choice,"""One cookie. For the road. What could go wrong?""",,70% +3 HP & fullness up / 30% fullness up & -20s,"Strangely restoring, warm to the bone — you feel watched, but not alone. (70%) / You blink, and twenty minutes have flown — that's one fine cookie you've been thrown. (30%)"
Encounter,Roadside Grandma,"Hatton, mile 205",cookies,Choice,"""On second thought — let's stick to the gas.""",,Returns to node: greet,
Encounter,Roadside Grandma,"Hatton, mile 205",cookies,Choice,"""I'm allergic to whatever that is.""",,No effect; ends,"""To butter?"" she asks, and holds your eye too long — ""or to something you can't name, but know is wrong?"""
Encounter,Roadside Grandma,"Hatton, mile 205",whyHatton,Quote,"Five hundred lived here once — two hotels, a bank, three elevators, electric light. Somebody's got to stay and mind what's left of the night.",,,
Encounter,Roadside Grandma,"Hatton, mile 205",whyHatton,Choice,"""Where'd everybody go?""",,Returns to node: greet,"West, mostly. The rest the road took its due — I just tidy up after, and wait on the few."
Encounter,Roadside Grandma,"Hatton, mile 205",whyHatton,Choice,"""…About that gas.""",,Returns to node: greet,
Encounter,Roadside Grandma,"Hatton, mile 205",whyHatton,Choice,"""Thank you, ma'am. I'll be going now. Slowly.""",,No effect; ends,"She watches you the whole way to the door — grandmothers in Hatton have done this before."
Encounter,Tow Driver,"Washtucna, mile 228",,Quote,"Three wrecks a week I haul from this bend — business is good, which should worry you, friend.",,,
Encounter,Tow Driver,"Washtucna, mile 228",,Choice,"""What's it cost to have you on call before I need you?""",$50,Tow-insurance buff,"Crash, and I'll judge you — but only a bit; call it a discount on your fit."
Encounter,Tow Driver,"Washtucna, mile 228",,Choice,"""Can you bang this dent out before I head on?""",$40,+12 HP,"A mallet, a grunt, a whack, a tad — and your car looks marginally less sad."
Encounter,Tow Driver,"Washtucna, mile 228",,Choice,"""Three a week? What's actually putting them in the ditch?""",,Reveals drowsy hazard; stays open,"""Straight road, no lights, and nothing to see — they nod off at seventy and wake up in a tree."""
Encounter,Tow Driver,"Washtucna, mile 228",,Choice,"""I don't plan on wrecking. That's the whole plan.""",,No effect; ends,"She laughs once, hard, and turns to walk away — ""I'll leave the CB on anyway."""
Encounter,Shade-Tree Mechanic,"Ellensburg, mile 109 (alt encounter)",,Quote,"Basin-bound? Top your coolant off right here — past Vantage the shade quits and the gauge climbs, I fear.",,,
Encounter,Shade-Tree Mechanic,"Ellensburg, mile 109 (alt encounter)",,Choice,"""Top it off. I'd rather not boil over out there.""",$25 (quoted — paid at Finesse),"Prices COOLANT TOP-OFF at $25 on the Finesse menu (list $40), this stop only","""I don't keep jugs on me — I moonlight at Finesse. Ask inside, twenty-five, and say I said yes."""
Encounter,Shade-Tree Mechanic,"Ellensburg, mile 109 (alt encounter)",,Choice,"""Mind if I fill my jug off your hose?""",,Hydration up,"Warm hose water — not cold, but wet; he waves off your coins, says you owe him no debt."
Encounter,Shade-Tree Mechanic,"Ellensburg, mile 109 (alt encounter)",,Choice,"""What am I actually watching for — the gauge, or something else?""",,Reveals engine-heat hazard; stays open,"""Smell comes first — sweet, like syrup on the breeze. By the time that needle climbs, you're already on your knees."""
Encounter,Shade-Tree Mechanic,"Ellensburg, mile 109 (alt encounter)",,Choice,"""She's run this far. She'll run the rest.""",,No effect; ends,"They all run fine 'til the needle goes red. Then they run hot. Then they run dead."
Encounter,Lemonade Kids,"Othello, mile 184 (alt encounter)",,Quote,"Ice-cold lemonade, mister — best in the Basin, we swear! (It's also the ONLY one anywhere.)",,,
Encounter,Lemonade Kids,"Othello, mile 184 (alt encounter)",,Choice,"""I'll take the whole pitcher. Keep the change.""",$5,Hydration up a lot,"Worth every cent that you're forgiving — your parched tongue rejoins the living."
Encounter,Lemonade Kids,"Othello, mile 184 (alt encounter)",,Choice,"""Just the one cup. I'm rationing.""",$1,Hydration up a little,"Cold and impossibly sweet, that sip — you smack your lips and resume the trip."
Encounter,Lemonade Kids,"Othello, mile 184 (alt encounter)",,Choice,"""Straight answer: is there anything at all between here and the next town?""",,Reveals no-services hazard; stays open,"""Circles of corn and a whole lot of sun."" The taller one shrugs. ""Dad says buy two. We only sell one."""
Encounter,Lemonade Kids,"Othello, mile 184 (alt encounter)",,Choice,"""Shouldn't you two be in school?""",,No effect; ends,"""It's August."" They stare you flat down, unimpressed — you pull away feeling less than blessed."
Encounter,Swimsuit Girl,"Thorp, mile 101",,Quote,"Thorp goes dead quiet once the interstate clears — but the pool's still warm, and so are the beers.",,,
Encounter,Swimsuit Girl,"Thorp, mile 101",,Choice,"""How much for a room? I'm running on fumes.""",$40,"-40 tiredness, +45s","She flips you the key with a wink, sly and slow — ""Shower's hot, bed's made… take it slow."""
Encounter,Swimsuit Girl,"Thorp, mile 101",,Choice,"""I won't say no to a drink by the water.""",,+10 hydration,"Ice clinks in the glass she hands over, sincere — ""On the house, cowboy. Long roads breed thirst, I hear."""
Encounter,Swimsuit Girl,"Thorp, mile 101",,Choice,"""Is that old mill the only thing open around here?""",,No effect,"That mill shut down in '46, my dear. You're two hundred miles from anything here."
Mission Passenger,Nervous Student,"Any stop (random offer)",nervous,Ask,"I missed the last bus and my finals won't wait — I can pay; just drive like my mom's at the gate.",,,
Mission Passenger,Nervous Student,"Any stop (random offer)",nervous,Pickup,"Seatbelt. Both hands. Great. Perfect. Love it. Love this.",,,
Mission Passenger,Nervous Student,"Any stop (random offer)",nervous,Mid-route,"You're doing great. I'm saying that for both of us.",,,
Mission Passenger,Nervous Student,"Any stop (random offer)",nervous,Dropoff,"WE LIVED! Here — take it before I count it and change my mind.",,,
Mission Passenger,Hitchhiker,"Any stop (random offer)",thrill_seeker,Ask,"Need a lift up the road a spell — I chip in for gas, don't scream, ride well, and tip good coin for a story you tell.",,,
Mission Passenger,Hitchhiker,"Any stop (random offer)",thrill_seeker,Pickup,"Music's yours. Pedal's yours. Impress me.",,,
Mission Passenger,Hitchhiker,"Any stop (random offer)",thrill_seeker,Mid-route,"Is that all this thing does? ...Kidding. Mostly.",,,
Mission Passenger,Hitchhiker,"Any stop (random offer)",thrill_seeker,Dropoff,"Decent run. Here's the fare, and here's a tip: nobody's ever impressed on the brakes.",,,
Mission Passenger,Desert Oddball,"Any stop (random offer)",fugitive,Ask,"I need to be gone from here, and swift — and skip any cops, if you catch my drift.",,,
Mission Passenger,Desert Oddball,"Any stop (random offer)",fugitive,Pickup,"If anyone asks, I've been asleep since Tuesday.",,,
Mission Passenger,Desert Oddball,"Any stop (random offer)",fugitive,Mid-route,He checks the mirror more than you do. He has not blinked in a while.,,,
Mission Passenger,Desert Oddball,"Any stop (random offer)",fugitive,Dropoff,"You never saw me. The money saw you, though. The money remembers.",,,
Mission Passenger,Roadside Grandma (passenger),"Any stop (random offer) — NOTE: same name as the Hatton encounter NPC, different character",carsick,Ask,"My grandson never calls or drives me a lick — you look sturdy, dear; smooth roads, and no tricks.",,,
Mission Passenger,Roadside Grandma (passenger),"Any stop (random offer) — NOTE: same name as the Hatton encounter NPC, different character",carsick,Pickup,"I get queasy, dear. Pretend you're carrying soup. Open soup.",,,
Mission Passenger,Roadside Grandma (passenger),"Any stop (random offer) — NOTE: same name as the Hatton encounter NPC, different character",carsick,Mid-route,"My late husband drove like this. He is late for a reason.",,,
Mission Passenger,Roadside Grandma (passenger),"Any stop (random offer) — NOTE: same name as the Hatton encounter NPC, different character",carsick,Dropoff,"A gentleman. Or close enough at this hour. Here you are, dear.",,,
Mission Passenger,Ski Bum (passenger),"Any stop (random offer) — NOTE: same name as the Snoqualmie Pass encounter NPC, different character",nervous,Ask,"Board's waxed, but my ride just fell right through — get me up the road and the lift-ticket money's for you.",,,
Mission Passenger,Ski Bum (passenger),"Any stop (random offer) — NOTE: same name as the Snoqualmie Pass encounter NPC, different character",nervous,Pickup,"Powder day, man. Every minute counts. But like — safely.",,,
Mission Passenger,Ski Bum (passenger),"Any stop (random offer) — NOTE: same name as the Snoqualmie Pass encounter NPC, different character",nervous,Mid-route,"Whoa. Okay. Cool. The mountain isn't going anywhere, right? Right?",,,
Mission Passenger,Ski Bum (passenger),"Any stop (random offer) — NOTE: same name as the Snoqualmie Pass encounter NPC, different character",nervous,Dropoff,"Righteous. Here's the cash. First run's for you, wherever you're dying next.",,,
Mission Passenger,Old-Timer,"Any stop (random offer)",carsick,Ask,"Truck died. There's a doctor waiting down the way, and my gut's older than your car — go easy, I pray.",,,
Mission Passenger,Old-Timer,"Any stop (random offer)",carsick,Pickup,"Drove this road before anybody bothered painting lines on it.",,,
Mission Passenger,Old-Timer,"Any stop (random offer)",carsick,Mid-route,"Mind the bumps, son. Breakfast is negotiating.",,,
Mission Passenger,Old-Timer,"Any stop (random offer)",carsick,Dropoff,"Smoother than my nephew, and he does this for a living. Don't tell him.",,,
Mission Contact,"Marcy / Dale / Rhonda / Gus / Pep / Lorna / Sal / Tick","Every stop (one name picked deterministically per stop)",,Note,"These 8 names label plain delivery/timed/heat/weather job offers. No individual personality or quote beyond the tiered greeting lines below — same 8 names reused at every stop.",,,
Mission Contact,Generic contact,"Any stop, after a failed job",,Greeting,"Heard the last one hit a wall — cargo's gone, I've eaten it all. Clean slate, driver, nothing said, long as you're still rolling ahead.",,,
Mission Contact,Generic contact,"Any stop, 1 job completed for this contact",,Greeting,"You delivered last time, I recall — got more to move, if you're up for the haul.",,,
Mission Contact,Generic contact,"Any stop, 2 jobs completed for this contact",,Greeting,"Two for two, and I don't say that twice. Got something bigger, if you're feeling nice.",,,
Mission Contact,Generic contact,"Any stop, 3-7 jobs completed for this contact",,Greeting,"That's [N] runs and not one lost. I've been holding back the sweet ones, and you're going to like the cost.",,,
Mission Contact,Generic contact,"Any stop, 8+ jobs completed for this contact",,Greeting,"There's my legend, come to call. The big runs go to you, that's all — nobody else hears these exist, so pick whichever's on the list.",,,
Cargo Flavor,(delivery job),"Any stop, delivery mission",pies,Cargo description,"a crate of rodeo pies",,Perishable,
Cargo Flavor,(delivery job),"Any stop, delivery mission",insulin,Cargo description,"a cooler marked MEDICAL",,Perishable,
Cargo Flavor,(delivery job),"Any stop, delivery mission",windshields,Cargo description,"a stack of windshields",,Fragile,
Cargo Flavor,(delivery job),"Any stop, delivery mission",antiques,Cargo description,"boxed estate antiques",,Fragile,
Cargo Flavor,(delivery job),"Any stop, delivery mission",duffel,Cargo description,"a duffel you don't open",,Illegal,
Cargo Flavor,(delivery job),"Any stop, delivery mission",crates,Cargo description,"unlabeled wooden crates",,Illegal,
Cargo Flavor,(delivery job),"Any stop, delivery mission",envelope,Cargo description,"a sealed manila envelope",,,
Cargo Flavor,(delivery job),"Any stop, delivery mission",carb,Cargo description,"a rebuilt carburetor",,,
Cargo Flavor,(timed/rush job),"Any stop, timed mission",court_docs,Cargo description,"a folder of court filings",,,
Cargo Flavor,(timed/rush job),"Any stop, timed mission",hot_parts,Cargo description,"an engine part still warm from somewhere",,,
Cargo Flavor,(timed/rush job),"Any stop, timed mission",wedding_cake,Cargo description,"a three-tier wedding cake",,Fragile,
Cargo Flavor,(timed/rush job),"Any stop, timed mission",transplant,Cargo description,"a cooler stamped DO NOT DELAY",,,
Cargo Flavor,(timed/rush job),"Any stop, timed mission",auction_bid,Cargo description,"a sealed auction bid",,,
Cargo Flavor,(weather contract),"North Bend -> Cle Elum, only while pass weather is live",pass_run,Cargo description,"a pallet of pass-closure supplies",,"Fragile (max 15 HP damage); Legend tier adds a 'no chains' dare",
Cargo Flavor,(weather contract),"Ellensburg -> Othello, only while Vantage wind is live",wind_run,Cargo description,"a strapped-down load of drywall sheets",,"Fragile (max 15 HP damage); Legend tier adds a 'no chains' dare",
Cargo Flavor,(heat-escape job),"Any stop, only while wearing 2+ wanted stars",heat_escape,Cargo description,"a clean getaway",,"Offered only at 2+ stars; must land at target with 0 stars",
Vignette,Crowd chatter,Bellevue,,Chatter 1,"Tell Mike I'm leaving in five. I've been leaving in five since noon.",,,
Vignette,Crowd chatter,Bellevue,,Chatter 2,"Parking garage at the Square, level six, 11pm. Nobody parks on six.",,,
Vignette,Crowd chatter,Bellevue,,Chatter 3,"My ex works at the bank downtown. No — the other one. No, the OTHER other one.",,,
Vignette,Crowd chatter,Issaquah,,Chatter 1,"Two cops sitting at the QFC on 17th. Take the back roads.",,,
Vignette,Crowd chatter,Issaquah,,Chatter 2,"Somebody put a whole salmon in a trunk. It is not on ice. It is not going to be okay.",,,
Vignette,Crowd chatter,Issaquah,,Chatter 3,"My cousin's couch is open if you blow the clock. It smells. But it's open.",,,
Vignette,Crowd chatter,North Bend,,Chatter 1,"Twede's is running Twin Peaks again. Order the pie. Do NOT order the coffee.",,,
Vignette,Crowd chatter,North Bend,,Chatter 2,"Chains next door are marked up four hundred percent and every single person is buying them.",,,
Vignette,Crowd chatter,North Bend,,Chatter 3,"Pass closes in three hours. MOVE.",,,
Vignette,Crowd chatter,Cle Elum,,Chatter 1,"You're DRIVING?? You are absolutely WASTED.",,,
Vignette,Crowd chatter,Cle Elum,,Chatter 2,"Bakery's got the salted caramel ones. Ten minutes, tops. Ten.",,,
Vignette,Crowd chatter,Cle Elum,,Chatter 3,"Town had a live switchboard operator until 1966. Still can't get anyone to pick up.",,,
Vignette,Crowd chatter,Ellensburg,,Chatter 1,"Rivalry game tonight — half of Pullman is already on this road ahead of you.",,,
Vignette,Crowd chatter,Ellensburg,,Chatter 2,"Coffee's on. You look like hell. Both of those are facts.",,,
Vignette,Crowd chatter,Ellensburg,,Chatter 3,"Troopers sit around Kittitas this time of night. They love a quota.",,,
Vignette,Crowd chatter,Vantage,,Chatter 1,"Somebody's climbing up to the steel horses. In flip-flops. At night.",,,
Vignette,Crowd chatter,Vantage,,Chatter 2,"Last gas before the basin. I'm not being dramatic. Last gas.",,,
Vignette,Crowd chatter,Vantage,,Chatter 3,"Wind's up. If you've got anything on the roof, it's already gone.",,,
Vignette,Crowd chatter,Royal City,,Chatter 1,"Free apples in the orchard. Free-ish. Don't get caught.",,,
Vignette,Crowd chatter,Royal City,,Chatter 2,"My uncle swears every cop in this town plays poker on Fridays. It's Friday.",,,
Vignette,Crowd chatter,Royal City,,Chatter 3,"Desert sunset in twenty minutes and you're going to miss it. Floor it.",,,
Vignette,Crowd chatter,Othello,,Chatter 1,"Truck stop taqueria. Life-changing. I'm not exaggerating and I'm not eating anywhere else.",,,
Vignette,Crowd chatter,Othello,,Chatter 2,"You skipped Royal? They had the good energy drinks. The ones that are basically illegal.",,,
Vignette,Crowd chatter,Othello,,Chatter 3,"Combines on 26 tonight. Those things are rolling roadblocks with lights.",,,
Vignette,Crowd chatter,Washtucna,,Chatter 1,"Population two hundred. One cop. Do not test him.",,,
Vignette,Crowd chatter,Washtucna,,Chatter 2,"Somebody's grandma sent cookies for the party. Nobody can figure out whose grandma.",,,
Vignette,Crowd chatter,Washtucna,,Chatter 3,"Last shower for fifty miles. Consider that carefully.",,,
Vignette,Crowd chatter,La Crosse,,Chatter 1,"You're basically there. Do not blow it now.",,,
Vignette,Crowd chatter,La Crosse,,Chatter 2,"Everyone is asking where the f— you are. Everyone.",,,
Vignette,Crowd chatter,La Crosse,,Chatter 3,"Pullman's lit up like a Christmas tree. You can see it from the hill.",,,
Shop Greeter,Huff's Attendant,gas,,Quote,"Pump six is honest, pump four is a liar — pay inside or you'll stand here 'til you retire.",,,
Shop Greeter,CarGo Dispatcher,cargo,,Quote,"Freight's freight and the clock doesn't care — load's out back if you're headed there.",,,
Shop Greeter,CowBella Shopkeeper,hunting,,Quote,"Everything in here is orange, lethal, or both — pick one and I'll spare you the safety oath.",,,
Shop Greeter,AOK Camp Host,camp,,Quote,"Tents, tarps, and a stove that half-works — everything you need to regret the outdoors and its perks.",,,
Shop Greeter,Lord Motors Manager,lord,,Quote,"Every car on this lot runs. That's the pitch. Past that, we negotiate which.",,,
Shop Greeter,Sam's Owner,suck,,Quote,"Sam's not here. Sam is never here. I do the wrenching and Sam does the beer.",,,
Shop Greeter,Gas-N-Sip Clerk,vices,,Quote,"Coolers on the left, regrets on the right — I quit judging people around midnight.",,,
Shop Greeter,AM/BM Clerk,ambm,,Quote,"Whatever you're after, don't say it out loud. Point, pay, and go rejoin the crowd.",,,
Shop Greeter,Metro Park & Ride Courier,parkride,,Quote,"I move what fits in a trunk and don't ask — point me at yours and name the task.",,,
Shop Greeter,Les Schwasted Tech,schwasted,,Quote,"Free beef with every set of tires. Long story. Don't ask about the fires.",,,
Shop Greeter,Finesse Technician,fap,,Quote,"You want it fast, or you want it pretty? Both costs double. That's the city.",,,
Shop Greeter,(all 11 shops),"Shared choice set — same three buttons at every counter",,Choice,"""Let's see what you've got.""",,No effect — opens the shop,
Shop Greeter,(all 11 shops),"Shared choice set — same three buttons at every counter",,Choice,"""Just browsing. Don't hover.""",,No effect — opens the shop,"""Wouldn't dream of it. Holler if you need me."""
